Rank,Artist,Song,Gender,Year
34,Elton John,Lucy In The Sky With Diamonds,Male,1975
35,Barry Manilow,Mandy,Male,1975
36,Olivia Newton-John,Have You Never Been Mellow,Female,1975
37,Barry Manilow,Could It Be Magic,Male,1975
38,Harry Chapin,Cat’s In The Cradle,Male,1975
39,Michael Murphy,Wildfire,Male,1975
40,Jessi Colter,I’m Not Lisa,Female,1975
41,Wings,Listen To What The Man Said,Male Group,1975
42,10cc,I’m Not In Love,Male Group,1975
43,Billy Swan,I Can Help,male,1975
44,"Hamilton, Joe Frank and Reynolds",Fallin’ In Love,Male Group,1975
45,Morris Albert,Feelings,Male,1975
46,Sammy Johns,Chevy Van,Male,1975
47,Linda Ronstadt,When Will I Be Loved,Female,1975
48,Barry White,"You’re The First, The Last, My Everthing",Male,1975
49,Olivia Newton-John,Please Mr Please,Female,1975
50,Linda Ronstadt,You’re No Good,Female,1975
51,Bazuka,Dynomite,Male Group,1975
52,Blackbyrds,Walking In Rhythm,Male Group,1975
53,Gladys Knight and The Pips,The Way We Were / Try To Remember,Female,1975
54,Melissa Manchester,Midnight Blue,Female,1975
55,Sugarloaf,"Don’t Call Us, We’ll Call You",Male Group,1975
56,Phoebe Snow,Poetry Man,Female,1975
57,Ace,How Long,Male Group,1975
58,B.T. Express,Express,Male Group,1975
59,"Earth, Wind and Fire",That’s The Way Of The World,Male Group,1975
60,Styx,Lady,Male Group,1975
61,Grand Funk,Bad Time,Male Group,1975
62,Alice Cooper,Only Women Bleed,Female,1975
63,Carol Douglas,Doctor’s Orders,Female,1975
64,K.C. and The Sunshine Band,Get Down Tonight,Mixed Group,1975
65,Joe Cocker,You Are So Beautiful / It’s A Sin When You Love Somebody,Male,1975
66,Paul Anka and Odia Coates,One Man Woman-One Woman Man,Mixed Group,1975
67,Bad Company,Feel Like Makin’ Love,Male Group,1975
68,James Taylor,How Sweet It Is,Male,1975
69,Orleans,Dance With Me,Male Group,1975
70,Average White Band,Cut The Cake,Male Group,1975
71,Gloria Gaynor,Never Can Say Goodbye,Female,1975
72,Paul Anka,I Don’t Like To Sleep Alone,Male,1975
73,Donny and Marie Osmond,Morning Side Of The Mountain,Mixed Group,1975
74,Grand Funk,Some Kind Of Wonderful,Male Group,1975
75,Three Degrees,When Will I See You Again,Female Group,1975
76,Joe Simon,"Get Down, Get Down (Get On The Floor)",Male,1975
77,John Denver,I’m Sorry / Calypso,Male,1975
78,Queen,Killer Queen,Male Group,1975
79,Eddie Kendricks,Shoeshine Boy,Male Group,1975
80,B.T. Express,Do It (Til You’re Satisfied),Male Group,1975
81,Electric Light Orchestra,Can’t Get It Out Of My Head,Male Group,1975
82,Al Green,Sha-La-La (Make Me Happy),Male,1975
83,America,Lonely People,Male Group,1975
84,Rufus,You Got The Love,Male Group,1975
85,Mike Post,The Rockford Files,Male,1975
86,Tavares,It Only Takes A Minute,Male Group,1975
87,Ringo Starr,No No Song / Snookeroo,Male,1975
88,Paul McCartney and Wings,Junior’s Farm / Sally G,Male Group,1975
89,Jethro Tull,Bungle In The Jungle,Male,1975
90,Leo Sayer,Long Tall Glasses (I Can Dance),Male,1975
91,Elton John,Someone Saved My Life Tonight,Male,1975
92,Ray Stevens,Misty,Male,1975
93,Neil Sedaka,Bad Blood,Male,1975
94,Carpenters,Only Yesterday,Mixed Group,1975
95,Dwight Twilley Band,I’m On Fire,Male Group,1975
96,Ringo Starr,Only You,Male,1975
97,Amazing Rhythm Aces,Third Rate Romance,Male Group,1975
98,Bachman-Turner Overdrive,You Aint Seen Nothin’ Yet / Free Wheelin’,Male Group,1975
99,Frankie Valli,Swearin’ To God,Male,1975
100,Disco Tex and The Sex-O-lettes,Get Dancin’,Male Group,1975
1,Blondie,Call Me,Mixed Group,1980
2,Pink Floyd,Another Brick In The Wall,Male Group,1980
3,Olivia Newton-John,Magic,Female,1980
4,Michael Jackson,Rock With You,Male,1980
5,Captain and Tennille,Do That To Me One More Time,Mixed Group,1980
6,Queen,Crazy Little Thing Called Love,Male Group,1980
7,Paul McCartney,Coming Up,Male,1980
8,"Lipps, Inc.",Funkytown,Mixed Group,1980
9,Billy Joel,It’s Still Rock And Roll To Me,Male,1980
10,Bette Midler,The Rose,Female,1980
11,Rupert Holmes,Escape (The Pina Colada Song),Male,1980
